target_id	length	eff_length	est_counts	tpm
g859.t1	2103	1941.53	151	4.0739
g860.t1	2094	1932.53	52	1.40947
g861.t1	1299	1137.53	62	2.855
g862.t1	3225	3063.53	260	4.44558
g863.t1	1497	1335.53	1	0.0392215
g864.t1	1314	1152.53	2	0.0908981
g865.t1	14100	13938.5	26	0.0977089
g866.t1	867	705.532	0	0
g867.t1	960	798.532	5	0.327986
g868.t1	2136	1974.53	5755	152.672
g869.t1	1254	1092.53	1262	60.5067
g870.t1	837	675.532	37	2.86902
g871.t1	1215	1053.53	56	2.78431
g872.t1	1053	891.532	142	8.34314
g873.t1	342	188.341	0	0
g874.t1	1146	984.532	232	12.3434
g875.t1	2109	1947.53	47	1.26413
g876.t1	1929	1767.53	53	1.57068
g877.t1	2952	2790.53	13	0.244025
g878.t1	3024	2862.53	95	1.73841
g879.t1	1410	1248.53	2	0.0839089
g880.t1	3471	3309.53	0	0
g881.t1	1584	1422.53	57	2.0989
g882.t1	4059	3897.53	413	5.55058
g883.t1	4539	4377.53	0	0
g884.t1	2349	2187.53	2	0.047891
g885.t1	1584	1422.53	2	0.0736454
g886.t1	1092	930.532	2	0.112584
g887.t1	1875	1713.53	2	0.0611386
g888.t1	1611	1449.53	100	3.61368
g889.t1	1287	1125.53	5	0.232697
g890.t1	1458	1296.53	324	13.09
